b_AD,b_CN,b_SMCI,correct_count,acc,bacc,macro_f1,bias_l2_norm
-0.20000000000000001,-1,0,464,0.86245353159851301,0.81993951053301561,0.84402335349709912,1.019803902718557
-0.20000000000000001,-0.90000000000000002,0,466,0.86617100371747213,0.82348560982379571,0.84730708355635376,0.92195444572928875
-0.20000000000000001,-0.80000000000000004,0,467,0.86802973977695164,0.82525865946918575,0.84894051522248237,0.82462112512353214
-0.20000000000000001,-0.69999999999999996,0,470,0.87360594795539037,0.83118126740747122,0.85395491407454782,0.72801098892805183
-0.20000000000000001,-0.59999999999999998,0,476,0.88475836431226762,0.84242302428192684,0.86362012929033183,0.63245553203367588
-0.20000000000000001,-0.5,0,478,0.88847583643122674,0.84657258257482226,0.86684941174123598,0.53851648071345037
-0.20000000000000001,-0.40000000000000002,0,481,0.89405204460966547,0.85249519051310763,0.87157807710780555,0.44721359549995798
-0.20000000000000001,-0.29999999999999999,0,484,0.8996282527881041,0.8584177984513931,0.87623600741958674,0.3605551275463989
-0.20000000000000001,-0.20000000000000001,0,487,0.90520446096654272,0.86373694738756324,0.88078516305375976,0.28284271247461901
-0.20000000000000001,-0.10000000000000001,0,492,0.91449814126394047,0.87260219561451358,0.88829100879670486,0.22360679774997899
-0.20000000000000001,-0,0,489,0.90892193308550184,0.86969688268680423,0.88392244241904372,0.20000000000000001
-0.20000000000000001,0.10000000000000001,0,491,0.91263940520446096,0.87444989998181499,0.88692363883462155,0.22360679774997899
-0.20000000000000001,0.20000000000000001,0,488,0.90706319702602234,0.8709411280519902,0.88256335472865521,0.28284271247461901
-0.20000000000000001,0.29999999999999999,0,486,0.90334572490706322,0.86920540576755589,0.87969038943204259,0.3605551275463989
-0.20000000000000001,0.40000000000000002,0,486,0.90334572490706322,0.87041232377178623,0.8797301775487717,0.44721359549995798
-0.20000000000000001,0.5,0,479,0.89033457249070636,0.86222518926886227,0.86968360796270139,0.53851648071345037
-0.20000000000000001,0.59999999999999998,0,476,0.88475836431226762,0.85931987634115303,0.86543017007433676,0.63245553203367588
-0.20000000000000001,0.69999999999999996,0,470,0.87360594795539037,0.85350925048573423,0.85696447557585465,0.72801098892805183
-0.20000000000000001,0.80000000000000004,0,464,0.86245353159851301,0.84649170662608508,0.84848956820921673,0.82462112512353214
-0.20000000000000001,0.90000000000000002,0,459,0.85315985130111527,0.84185067141394132,0.84149305110801509,0.92195444572928875
-0.20000000000000001,1,0,451,0.83828996282527879,0.83249394626774242,0.83025300081242503,1.019803902718557
